source,title,company,team_or_department,commitment,location,remote,salary,skills,posted_at,updated_at,apply_url,description
Greenhouse,"[Expression of Interest] Research Scientist/Engineer, Alignment Finetuning",anthropic,AI Research & Engineering,,"San Francisco, CA",, 2025,python,,2025-09-10,https://job-boards.greenhouse.io/anthropic/jobs/4520279008,"About Anthropic Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems. About the role: As a Research Scientist/Engineer on the Alignment Finetuning team at Anthropic, you'll lead the development and implementation of techniques aimed at training language models that are more aligned with human values: that demonstrate better moral reasoning, improved honesty, and good character. You'll work to develop novel finetuning techniques and to use these to demonstrably improve model behavior. Note: For this role, we conduct all interviews in Python. We have filled our headcount for 2025. However, we are leaving this form open as an expression of interest since we expect to be growing the team in the future, and we will review your application when we do. As such, you may not hear back on your application to this team until the new year Responsibilities: Develop and implement novel finetuning techniques using synthetic data generation and advanced training pipelines Use these to train models to have better alignment properties including honesty, character, and harmlessness Create and maintain evaluation frameworks to measure alignment properties in models Collaborate across teams to integrate alignment improvements into production models Develop processes to help automate and scale the work of the team You may be a good fit if you: Have an MS/PhD in Computer Science, ML, or related field, or equivalent experience Possess strong programming skills, especially in Python Have experience with ML model training and experimentation Have a track record of implementing ML research Demonstrate strong analytical skills for interpreting experimental results Have experience with ML metrics and evaluation frameworks Excel at turning research ideas into working code Can identify and resolve practical implementation challenges Strong candidates may also have: Experience with language model finetuning Background in AI alignment research Published work in ML or alignment Experience with synthetic data generation Familiarity with techniques like RLHF, constitutional AI, and reward modeling Track record of designing and implementing novel training approaches Experience with model behavior evaluation and improvement The expected salary range for this position is: Annual Salary: $315,000 — $340,000 USD Logistics Education requirements: We require at least a Bachelor's degree in a related field or equivalent experience. Location-based hybrid policy: Currently, we expect all staff to be in one of our offices at least 25% of the time. However, some roles may require more time in our offices. Visa sponsorship: We do sponsor visas! However, we aren't able to successfully sponsor visas for every role and every candidate"
Greenhouse,"[Expression of Interest] Research Scientist/Engineer, Honesty",anthropic,AI Research & Engineering,,"New York City, NY; San Francisco, CA",, 2025,"llm, python, rag",,2025-09-10,https://job-boards.greenhouse.io/anthropic/jobs/4532887008,"About Anthropic Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems. About the role: As a Research Scientist/Engineer focused on honesty within the Finetuning Alignment team, you'll spearhead the development of techniques to minimize hallucinations and enhance truthfulness in language models. Your work will focus on creating robust systems that are accurate and reflect their true levels of confidence across all domains, and that work to avoid being deceptive or misleading. Your work will be critical for ensuring our models maintain high standards of accuracy and honesty across diverse domains. Note: The team is based in New York and so we have a preference for candidates who can be based in New York. For this role, we conduct all interviews in Python. We have filled our headcount for 2025. However, we are leaving this form open as an expression of interest since we expect to be growing the team in the future, and we will review your application when we do. As such, you may not hear back on your application to this team until the new year Responsibilities: Design and implement novel data curation pipelines to identify, verify, and filter training data for accuracy given the model’s knowledge Develop specialized classifiers to detect potential hallucinations or miscalibrated claims made by the model Create and maintain comprehensive honesty benchmarks and evaluation frameworks Implement techniques to ground model outputs in verified information, such as search and retrieval-augmented generation (RAG) systems Design and deploy human feedback collection specifically for identifying and correcting miscalibrated responses Design and implement prompting pipelines to generate data that improves model accuracy and honesty Develop and test novel RL environments that reward truthful outputs and penalize fabricated claims Create tools to help human evaluators efficiently assess model outputs for accuracy You may be a good fit if you: Have an MS/PhD in Computer Science, ML, or related field Possess strong programming skills in Python Have industry experience with language model finetuning and classifier training Show proficiency in experimental design and statistical analysis for measuring improvements in calibration and accuracy Care about AI safety and the accuracy and honesty of both current and future AI systems Have experience in data science or the creation and curation of datasets for finetuning LLMs An understanding of various metrics of uncertainty, calibration, and truthfulness in model outputs Strong candidates may also have: Published work on hallucination prevention, factual grounding, or knowledge integration in language models Experience with fact-grounding techniques Background i"
Greenhouse,AI Infrastructure Accounting Lead,anthropic,Finance,,"San Francisco, CA",, 842 ,"aws, azure, gcp, sql",,2025-09-03,https://job-boards.greenhouse.io/anthropic/jobs/4756214008,"About Anthropic Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems. About the role Anthropic is seeking an exceptional AI Infrastructure Accounting Lead to join our Corporate Accounting team. In this strategic leadership position, you will build and lead the infrastructure accounting function responsible for managing all aspects of cloud computing, platform infrastructure, and data costs. As we continue our rapid growth, you will ensure operational scalability and financial accuracy of the core functions that enable Anthropic's research and commercial success. You will oversee end-to-end accounting and financial reporting for our largest cost center, working closely with cross-functional teams including Finance, Capacity Planning, and Engineering. You'll develop and implement scalable processes, controls, and systems to support Anthropic's growing financial complexity while providing critical insights that drive strategic decision-making. This is a unique opportunity to have significant impact on a critical aspect of our business as we scale our AI infrastructure. Responsibilities: Lead the team responsible for end-to-end accounting and reporting for AI infrastructure, including compute, cost of revenue, and R&D opex Develop and implement a comprehensive framework for infrastructure cost accounting, ensuring proper classification between Cost of Revenue and Operating Expenses Ensure accurate and timely financial reporting to support strategic decision-making by business leaders Partner with technical teams to understand complex infrastructure requirements and translate them into financial terms Collaborate cross-functionally to improve upstream data pipelines and enhance reporting capabilities Design and scale systems and processes to support Anthropic's growing financial complexity Leverage technical accounting expertise to support the review of complex arrangements, including ASC 842 lease accounting for infrastructure Build and mentor a high-performing team of accounting professionals focused on infrastructure costs Act as the primary liaison with external auditors for compute and infrastructure costs Drive process improvements and automation to enhance efficiency and accuracy of financial reporting Provide strategic insights to leadership on cost optimization opportunities and financial implications of infrastructure decisions You may be a good fit if you: Have 12+ years of progressive experience in accounting, with operational experience at technology companies Hold a Bachelor's degree in Accounting or Finance, CPA or equivalent preferred Have extensive experience managing cloud computing or infrastructure costs in a high-growth technology environment Possess strong technical "
Greenhouse,Customer Success: AI Success Architect (API),anthropic,Sales,,"San Francisco, CA | New York City, NY",,"$200,00",llm,,2025-09-03,https://job-boards.greenhouse.io/anthropic/jobs/4464871008,"About Anthropic Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems. About the role As a Customer Success: AI Success Architect (API) at Anthropic, you will be a strategic partner and the go-to technical advisor to our enterprise API customers, helping them harness the full potential of our LLM technology to achieve their business objectives. You'll work with strategic customers by providing technical guidance while driving consumption and optimization of Anthropic's API solutions. Your role focuses on helping customers scale their usage effectively, identify new use cases, and maximize the value of their existing API integrations. Responsibilities: Build trusting, strategic relationships with key customer decision makers Partner with customers to understand their business objectives and technical requirements and guide them toward optimal utilization of Anthropic's API solutions Drive consumption by developing and executing account plans that ground in each customer's business objectives, expand upon use cases that drive toward those objectives, and identify new opportunities for growth Help customers optimize their applications through deeply understanding Anthropic's API capabilities, methodology, and prompting techniques Monitor API usage patterns to mitigate risks, provide recommendations for optimization, and push toward expansion opportunities Lead regular customer stakeholder meetings and quarterly business reviews, focusing on usage patterns, success stories, and growth opportunities Create demonstrations to showcase potential new use cases and capabilities that build upon existing integrations Work cross-functionally with Enterprise Account Executives to identify and pursue expansion opportunities within existing accounts Act as the voice of the customer to Product and Engineering teams, providing detailed feedback on customer needs and feature requirements You may be a good fit if you: 5+ years of experience in technical customer-facing roles (Customer Success, Technical Account Management, Solutions Consultant, or similar) Technical acumen with understanding of APIs, integration concepts, and software development principles Experience explaining and demonstrating technical products to various audiences Understanding of LLMs and AI technologies, with ability to guide customers on optimization best practices Track record of driving technical adoption and consumption in enterprise environments Excellent ability to translate technical concepts for various audiences, from developers to executives Strong project management skills and ability to manage multiple customer relationships Deadline to apply: None. Applications will be reviewed on a rolling basis. The expected salary "
Greenhouse,"Data Scientist, API",anthropic,Data Science & Analytics,,"San Francisco, CA",,"$275,00","aws, llm, python, sql",,2025-09-11,https://job-boards.greenhouse.io/anthropic/jobs/4915058008,"About Anthropic Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems. About the role As an early member of our Data Science and Analytics team focusing on our API, you will play a critical role in driving the growth and optimization of Anthropic's API products that power thousands of developers and enterprises building with AI. You'll work at the intersection of product strategy, customer insights, and revenue optimization to help scale our API platform from millions to billions of API calls while maintaining our commitment to safety and reliability. You will partner closely with product, engineering, and go-to-market teams to understand developer and enterprise customer behavior, identify growth opportunities, and drive data-informed decisions that shape our API roadmap. This role offers a unique opportunity to influence how AI is deployed at scale across industries while working with cutting-edge language models and developer tools. Responsibilities: API Product Analytics : Deep dive into API usage patterns, developer adoption funnels, and enterprise customer behavior to provide actionable insights that drive product strategy and feature prioritization Revenue & Retention Analysis : Analyze customer lifecycle metrics, revenue retention patterns, and usage-based billing dynamics to identify opportunities for growth and reduce churn across our API customer base Developer Experience Optimization : Design and analyze experiments to improve API adoption, reduce time-to-value for developers, and enhance the overall developer experience across our platform ecosystem Customer Segmentation & Insights : Build sophisticated models to segment API customers by use case, company size, and behavioral patterns to inform targeted product development and go-to-market strategies Cross-Platform Analysis : Analyze customer behavior across Anthropic's ecosystem (1P API, Bedrock, Vertex AI) to understand platform preferences, switching patterns, and optimization opportunities Experimentation & A/B Testing : Design, execute, and analyze controlled experiments on API features, pricing strategies, and developer onboarding flows to drive measurable improvements in key metrics Predictive Modeling : Develop models to forecast API usage, predict customer growth potential, and identify early signals of expansion or churn risk Enterprise Customer Intelligence : Partner with sales and customer success teams to analyze enterprise customer usage patterns, measure feature adoption, and provide insights that inform account strategy You may be a good fit if you: Have 6+ years of experience in data science or analytics roles, with significant experience in API products, developer tools, or B2B SaaS platforms Have 3+ yea"
Greenhouse,"Data Scientist, Claude Code",anthropic,Data Science & Analytics,,"San Francisco, CA",,"$275,00","python, sql",,2025-09-03,https://job-boards.greenhouse.io/anthropic/jobs/4826091008,"About Anthropic Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems. About the role As an early member of our Data Science and Analytics team supporting Claude Code, you will play a critical role in shaping the future of AI-powered developer tools. Claude Code is Anthropic's command line tool that enables developers to delegate coding tasks directly to Claude from their terminal, representing a new frontier in human-AI collaboration for software development. You will be embedded with our Claude Code product team to drive data-informed decision making as we scale this revolutionary developer tool. Working at the intersection of AI capabilities research and product development, you'll help us understand how developers interact with AI coding assistants, measure the impact of our tool on developer productivity, and identify opportunities to enhance the developer experience. This role offers a unique opportunity to influence the development of cutting-edge AI tooling while working with some of the most sophisticated language models in the world. You'll help establish data foundations for a rapidly growing product in the emerging AI-assisted development space. Responsibilities: Deep dive into how developers use Claude Code across different programming languages, project types, and workflows to provide insights that inform product strategy and feature development Design and implement metrics to quantify how Claude Code affects developer productivity, code quality, and development velocity across different use cases and skill levels Analyze patterns in human-AI collaboration within coding workflows, identifying opportunities to improve the handoff between developers and Claude for more effective task delegation Develop hypotheses about product changes, design controlled experiments with developer users, and analyze results to guide feature prioritization and development Identify friction points in the Claude Code user journey and provide data-driven recommendations to improve onboarding, retention, and long-term engagement Build robust measurement frameworks to understand CLI adoption patterns, feature utilization, and user segmentation across different developer personas and organizations Partner with engineering to build experimentation capabilities tailored to developer tools, accounting for the unique challenges of measuring productivity and satisfaction in coding workflows Establish foundational data practices and infrastructure to support rapid iteration and decision-making as the Claude Code product scales You may be a good fit if you: Have 5+ years of experience in data science or analytics roles with significant focus on product analytics Have experience working with developer too"
Greenhouse,"Data Scientist, Platform (Reliability/Latency/Inference)",anthropic,Data Science & Analytics,,"Remote-Friendly (Travel-Required) | San Francisco, CA | Seattle, WA | New York City, NY",,"$275,00","python, sql",,2025-09-03,https://job-boards.greenhouse.io/anthropic/jobs/4801333008,"About Anthropic Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems. About the role As an early member of our Data Science team, you will play a crucial role in ensuring our AI systems deliver exceptional user experiences through reliable, low-latency performance. You'll be at the intersection of data science and infrastructure, using rigorous analysis to understand how platform performance impacts user behavior and identifying high-impact opportunities to improve our systems' reliability and responsiveness. Your work will directly influence how millions of users experience Claude and our other AI systems. You'll quantify user sensitivity to latency, reliability, errors, and refusal rates, then translate these insights into actionable recommendations that drive meaningful improvements to our platform infrastructure. This role offers the unique opportunity to shape the technical foundation that enables safe, frontier AI to scale globally. Responsibilities: Design and execute comprehensive analyses to understand how latency, reliability, errors, and refusal rates affect user engagement, satisfaction, and retention across our platform Identify and prioritize high-impact infrastructure improvements by analyzing user behavior patterns, system performance metrics, and the relationship between technical performance and business outcomes Develop robust methodologies to measure platform reliability and performance, including defining key metrics, establishing baselines, and creating monitoring systems that enable proactive optimization Collaborate with engineering teams to design A/B tests and controlled experiments that measure the impact of platform improvements on user experience and system performance Investigate performance anomalies, conduct root cause analysis of reliability issues, and provide data-driven insights to guide engineering priorities and architectural decisions Work closely with Platform Engineering, Product, and Research teams to translate technical performance data into user experience insights and strategic recommendations Build models to forecast platform capacity needs, predict potential reliability issues, and optimize resource allocation to maintain optimal performance at scale Present complex technical analyses and recommendations to both technical and non-technical stakeholders, including engineering leadership and executive teams You may be a good fit if you have: Advanced degree in Statistics, Computer Science, Engineering, Mathematics, or related quantitative field, with 5+ years of hands-on data science experience Deep understanding of distributed systems, cloud infrastructure, and performance engineering, with experience analyzing large-scale system metrics "
Greenhouse,"Engineering Manager, ML Acceleration",anthropic,AI Research & Engineering,,"San Francisco, CA | New York City, NY | Seattle, WA",,"$425,00",,,2025-09-03,https://job-boards.greenhouse.io/anthropic/jobs/4741104008,"About Anthropic Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems. About the role: Anthropic’s performance and scaling teams focus on making the most efficient and impactful use of our compute resources, be it inference or training. As an Engineering Manager on these teams you will be responsible for ensuring you and your team are identifying and removing bottlenecks, building robust and durable solutions, and maximizing the efficiency of our systems. You also will help bring clarity, focus, and context to your teams in a fast paced, dynamic environment. Responsibilities: Provide front-line leadership of engineering efforts to improve model performance and scale our inference and training systems Become familiar with the team’s technical stack enough to make targeted contributions as an individual contributor Manage day-to-day execution of the team's work Prioritize the team’s work and manage projects in a highly dynamic, fast paced environment Coach and support your reports in understanding, and pursuing, their professional growth Maintain a deep understanding of the team's technical work and its implications for AI safety You may be a good fit if you: Have 1+ years of management experience in a technical environment, particularly performance or distributed systems Have a background in machine learning, AI, or a similar related technical field Are deeply interested in the potential transformative effects of advanced AI systems and are committed to ensuring their safe development Excel at building strong relationships with stakeholders at all levels Are a quick learner, capable of understanding and contributing to discussions on complex technical topics Have experience managing teams through periods of rapid growth and change Are a quick study: this team sits at the intersection of a large number of different complex technical systems that you’ll need to understand (at a high level of abstraction) to be effective Strong candidates may also have experience with: High performance, large-scale ML systems GPU/Accelerator programming ML framework internals OS internals Language modeling with transformers The expected salary range for this position is: Annual Salary: $425,000 — $560,000 USD Logistics Education requirements: We require at least a Bachelor's degree in a related field or equivalent experience. Location-based hybrid policy: Currently, we expect all staff to be in one of our offices at least 25% of the time. However, some roles may require more time in our offices. Visa sponsorship: We do sponsor visas! However, we aren't able to successfully sponsor visas for every role and every candidate. But if we make you an offer, we will make every reasonable effort to get you a visa,"
Greenhouse,"Machine Learning Engineer, Safeguards",anthropic,Safeguards (Trust & Safety) ,,"San Francisco, CA",,"$340,00","llm, python, pytorch, sql, tensorflow",,2025-09-17,https://job-boards.greenhouse.io/anthropic/jobs/4461625008,"About Anthropic Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems. About the role We are looking for ML engineers to help build safety and oversight mechanisms for our AI systems. As a Safeguards Machine Learning Engineer, you will work to train models which detect harmful behaviors and help ensure user well-being. You will apply your technical skills to uphold our principles of safety, transparency, and oversight while enforcing our terms of service and acceptable use policies. Responsibilities: Build machine learning models to detect unwanted or anomalous behaviors from users and API partners, and integrate them into our production system Improve our automated detection and enforcement systems as needed Analyze user reports of inappropriate accounts and build machine learning models to detect similar instances proactively Surface abuse patterns to our research teams to harden models at the training stage You may be a good fit if you: Have 4+ years of experience in a research/ML engineering or an applied research scientist position, preferably with a focus on AI safety. Have proficiency in Python, LLMs, SQL and data analysis/data mining tools. Have proficiency in building safe AI/ML systems, such as behavioral classifiers or anomaly detection. Have strong communication skills and ability to explain complex technical concepts to non-technical stakeholders. Care about the societal impacts and long-term implications of your work. Strong candidates may also have experience with: Machine learning frameworks like Scikit-Learn, TensorFlow, or PyTorch High-performance, large-scale ML systems Language modeling with transformers Reinforcement learning Large-scale ETL The expected salary range for this position is: Annual Salary: $340,000 — $425,000 USD Logistics Education requirements: We require at least a Bachelor's degree in a related field or equivalent experience. Location-based hybrid policy: Currently, we expect all staff to be in one of our offices at least 25% of the time. However, some roles may require more time in our offices. Visa sponsorship: We do sponsor visas! However, we aren't able to successfully sponsor visas for every role and every candidate. But if we make you an offer, we will make every reasonable effort to get you a visa, and we retain an immigration lawyer to help with this. We encourage you to apply even if you do not believe you meet every single qualification. Not all strong candidates will meet every single qualification as listed. Research shows that people who identify as being from underrepresented groups are more prone to experiencing imposter syndrome and doubting the strength of their candidacy, so we urge you not to exclude yourself prematurely and to"
Greenhouse,"Machine Learning Systems Engineer, Encodings and Tokenization",anthropic,AI Research & Engineering,,"San Francisco, CA",,"$320,00","llm, python",,2025-09-03,https://job-boards.greenhouse.io/anthropic/jobs/4579552008,"About Anthropic Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems. About the Role We are seeking an experienced Machine Learning Systems Engineer to join our Encodings and Tokenization team at Anthropic. This cross-functional role will be instrumental in developing and optimizing the encodings and tokenization systems used throughout our Finetuning workflows. As a bridge between our Pretraining and Finetuning teams, you'll build critical infrastructure that directly impacts how our models learn from and interpret data. Your work will be foundational to Anthropic's research progress, enabling more efficient and effective training of our AI systems while ensuring they remain reliable, interpretable, and steerable. Responsibilities Design, develop, and maintain tokenization systems used across Pretraining and Finetuning workflows Optimize encoding techniques to improve model training efficiency and performance Collaborate closely with research teams to understand their evolving needs around data representation Build infrastructure that enables researchers to experiment with novel tokenization approaches Implement systems for monitoring and debugging tokenization-related issues in the model training pipeline Create robust testing frameworks to validate tokenization systems across diverse languages and data types Identify and address bottlenecks in data processing pipelines related to tokenization Document systems thoroughly and communicate technical decisions clearly to stakeholders across teams You May Be a Good Fit If You Have significant software engineering experience with demonstrated machine learning expertise Are comfortable navigating ambiguity and developing solutions in rapidly evolving research environments Can work independently while maintaining strong collaboration with cross-functional teams Are results-oriented, with a bias towards flexibility and impact Have experience with machine learning systems, data pipelines, or ML infrastructure Are proficient in Python and familiar with modern ML development practices Have strong analytical skills and can evaluate the impact of engineering changes on research outcomes Pick up slack, even if it goes outside your job description Enjoy pair programming (we love to pair!) Care about the societal impacts of your work and are committed to developing AI responsibly Strong Candidates May Also Have Experience With Working with machine learning data processing pipelines Building or optimizing data encodings for ML applications Implementing or working with BPE, WordPiece, or other tokenization algorithms Performance optimization of ML data processing systems Multi-language tokenization challenges and solutions Research environments where"
