id,title,authors,published,summary,link
2509.13316v1,Do Natural Language Descriptions of Model Activations Convey Privileged Information?,Millicent Li; Alberto Mario Ceballos Arroyo; Giordano Rogers; Naomi Saphra; Byron C. Wallace,[Submitted on 16 Sep 2025],"Recent interpretability methods have proposed to translate LLM internal representations into natural language descriptions using a second verbalizer LLM. This is intended to illuminate how the target model represents and operates on inputs. But do such activation verbalization approaches actually provide privileged knowledge about the internal workings of the target model, or do they merely convey information about its inputs? We critically evaluate popular verbalization methods across datasets used in prior work and find that they succeed at benchmarks without any access to target model internals, suggesting that these datasets are not ideal for evaluating verbalization methods. We then run controlled experiments which reveal that verbalizations often reflect the parametric knowledge of the verbalizer LLM which generated them, rather than the activations of the target LLM being decoded. Taken together, our results indicate a need for targeted benchmarks and experimental controls to rigorously assess whether verbalization methods provide meaningful insights into the operations of LLMs.",https://arxiv.org/abs/2509.13316v1
2509.13305v1,WebSailor-V2: Bridging the Chasm to Proprietary Agents via Synthetic Data and Scalable Reinforcement Learning,Kuan Li; Zhongwang Zhang; Huifeng Yin; Rui Ye; Yida Zhao; Liwen Zhang; Litu Ou; Dingchu Zhang; Xixi Wu; Jialong Wu; Xinyu Wang; Zile Qiao; Zhen Zhang; Yong Jiang; Pengjun Xie; Fei Huang; Jingren Zhou,[Submitted on 16 Sep 2025],"Transcending human cognitive limitations represents a critical frontier in LLM training. Proprietary agentic systems like DeepResearch have demonstrated superhuman capabilities on extremely complex information-seeking benchmarks such as BrowseComp, a feat previously unattainable. We posit that their success hinges on a sophisticated reasoning pattern absent in open-source models: the ability to systematically reduce extreme uncertainty when navigating vast information landscapes. Based on this insight, we introduce WebSailor, a complete post-training methodology designed to instill this crucial capability. Our approach involves generating novel, high-uncertainty tasks through structured sampling and information obfuscation, RFT cold start, and an efficient agentic RL training algorithm, Duplicating Sampling Policy Optimization (DUPO). With this integrated pipeline, WebSailor significantly outperforms all open-source agents in complex information-seeking tasks, matching proprietary agents' performance and closing the capability gap.",https://arxiv.org/abs/2509.13305v1
2509.13298v1,QDFlow: A Python package for physics simulations of quantum dot devices,Donovan L. Buterakos; Sandesh S. Kalantre; Joshua Ziegler; Jacob M Taylor; Justyna P. Zwolak,[Submitted on 16 Sep 2025],"Recent advances in machine learning (ML) have accelerated progress in calibrating and operating quantum dot (QD) devices. However, most ML approaches rely on access to large, high-quality labeled datasets for training, benchmarking, and validation, with labels capturing key features in the data. Obtaining such datasets experimentally is challenging due to limited data availability and the labor-intensive nature of labeling. QDFlow is an open-source physics simulator for multi-QD arrays that generates realistic synthetic data with ground-truth labels. QDFlow combines a self-consistent Thomas-Fermi solver, a dynamic capacitance model, and flexible noise modules to produce charge stability diagrams and ray-based data closely resembling experiments. With extensive tunable parameters and customizable noise models, QDFlow supports the creation of large, diverse datasets for ML development, benchmarking, and quantum device research.",https://arxiv.org/abs/2509.13298v1
2509.13294v1,Accelerating Protein Molecular Dynamics Simulation with DeepJump,Allan dos Santos Costa; Manvitha Ponnapati; Dana Rubin; Tess Smidt; Joseph Jacobson,[Submitted on 16 Sep 2025],"Unraveling the dynamical motions of biomolecules is essential for bridging their structure and function, yet it remains a major computational challenge. Molecular dynamics (MD) simulation provides a detailed depiction of biomolecular motion, but its high-resolution temporal evolution comes at significant computational cost, limiting its applicability to timescales of biological relevance. Deep learning approaches have emerged as promising solutions to overcome these computational limitations by learning to predict long-timescale dynamics. However, generalizable kinetics models for proteins remain largely unexplored, and the fundamental limits of achievable acceleration while preserving dynamical accuracy are poorly understood. In this work, we fill this gap with DeepJump, an Euclidean-Equivariant Flow Matching-based model for predicting protein conformational dynamics across multiple temporal scales. We train DeepJump on trajectories of the diverse proteins of mdCATH, systematically studying our model's performance in generalizing to long-term dynamics of fast-folding proteins and characterizing the trade-off between computational acceleration and prediction accuracy. We demonstrate the application of DeepJump to ab initio folding, showcasing prediction of folding pathways and native states. Our results demonstrate that DeepJump achieves significant $\approx$1000$\times$ computational acceleration while effectively recovering long-timescale dynamics, providing a stepping stone for enabling routine simulation of proteins.",https://arxiv.org/abs/2509.13294v1
2509.13288v1,Shapes of Cognition for Computational Cognitive Modeling,Marjorie McShane; Sergei Nirenburg; Sanjay Oruganti; Jesse English,[Submitted on 16 Sep 2025],"Shapes of cognition is a new conceptual paradigm for the computational cognitive modeling of Language-Endowed Intelligent Agents (LEIAs). Shapes are remembered constellations of sensory, linguistic, conceptual, episodic, and procedural knowledge that allow agents to cut through the complexity of real life the same way as people do: by expecting things to be typical, recognizing patterns, acting by habit, reasoning by analogy, satisficing, and generally minimizing cognitive load to the degree situations permit. Atypical outcomes are treated using shapes-based recovery methods, such as learning on the fly, asking a human partner for help, or seeking an actionable, even if imperfect, situational understanding. Although shapes is an umbrella term, it is not vague: shapes-based modeling involves particular objectives, hypotheses, modeling strategies, knowledge bases, and actual models of wide-ranging phenomena, all implemented within a particular cognitive architecture. Such specificity is needed both to vet our hypotheses and to achieve our practical aims of building useful agent systems that are explainable, extensible, and worthy of our trust, even in critical domains. However, although the LEIA example of shapes-based modeling is specific, the principles can be applied more broadly, giving new life to knowledge-based and hybrid AI.",https://arxiv.org/abs/2509.13288v1
2509.13285v1,Contrastive timbre representations for musical instrument and synthesizer retrieval,Gwendal Le Vaillant; Yannick Molle,[Submitted on 16 Sep 2025],"Efficiently retrieving specific instrument timbres from audio mixtures remains a challenge in digital music production. This paper introduces a contrastive learning framework for musical instrument retrieval, enabling direct querying of instrument databases using a single model for both single- and multi-instrument sounds. We propose techniques to generate realistic positive/negative pairs of sounds for virtual musical instruments, such as samplers and synthesizers, addressing limitations in common audio data augmentation methods.The first experiment focuses on instrument retrieval from a dataset of 3,884 instruments, using single-instrument audio as input. Contrastive approaches are competitive with previous works based on classification pre-training. The second experiment considers multi-instrument retrieval with a mixture of instruments as audio input. In this case, the proposed contrastive framework outperforms related works, achieving 81.7\% top-1 and 95.7\% top-5 accuracies for three-instrument mixtures.",https://arxiv.org/abs/2509.13285v1
2509.13282v1,ChartGaze: Enhancing Chart Understanding in LVLMs with Eye-Tracking Guided Attention Refinement,Ali Salamatian; Amirhossein Abaskohi; Wan-Cyuan Fan; Mir Rayat Imtiaz Hossain; Leonid Sigal; Giuseppe Carenini,[Submitted on 16 Sep 2025],"Charts are a crucial visual medium for communicating and representing information. While Large Vision-Language Models (LVLMs) have made progress on chart question answering (CQA), the task remains challenging, particularly when models attend to irrelevant regions of the chart. In this work, we present ChartGaze, a new eye-tracking dataset that captures human gaze patterns during chart reasoning tasks. Through a systematic comparison of human and model attention, we find that LVLMs often diverge from human gaze, leading to reduced interpretability and accuracy. To address this, we propose a gaze-guided attention refinement that aligns image-text attention with human fixations. Our approach improves both answer accuracy and attention alignment, yielding gains of up to 2.56 percentage points across multiple models. These results demonstrate the promise of incorporating human gaze to enhance both the reasoning quality and interpretability of chart-focused LVLMs.",https://arxiv.org/abs/2509.13282v1
2509.13281v1,RepIt: Representing Isolated Targets to Steer Language Models,Vincent Siu; Nathan W. Henry; Nicholas Crispino; Yang Liu; Dawn Song; Chenguang Wang,[Submitted on 16 Sep 2025],"While activation steering in large language models (LLMs) is a growing area of research, methods can often incur broader effects than desired. This motivates isolation of purer concept vectors to enable targeted interventions and understand LLM behavior at a more granular level. We present RepIt, a simple and data-efficient framework for isolating concept-specific representations. Across five frontier LLMs, RepIt enables precise interventions: it selectively suppresses refusal on targeted concepts while preserving refusal elsewhere, producing models that answer WMD-related questions while still scoring as safe on standard benchmarks. We further show that the corrective signal localizes to just 100-200 neurons and that robust target representations can be extracted from as few as a dozen examples on a single A6000. This efficiency raises a dual concern: manipulations can be performed with modest compute and data to extend to underrepresented data-scarce topics while evading existing benchmarks. By disentangling refusal vectors with RepIt, this work demonstrates that targeted interventions can counteract overgeneralization, laying the foundation for more granular control of model behavior.",https://arxiv.org/abs/2509.13281v1
2509.13279v1,HARMONIC: A Content-Centric Cognitive Robotic Architecture,Sanjay Oruganti; Sergei Nirenburg; Marjorie McShane; Jesse English; Michael K. Roberts; Christian Arndt; Carlos Gonzalez; Mingyo Seo; Luis Sentis,[Submitted on 16 Sep 2025],"This paper introduces HARMONIC, a cognitive-robotic architecture designed for robots in human-robotic teams. HARMONIC supports semantic perception interpretation, human-like decision-making, and intentional language communication. It addresses the issues of safety and quality of results; aims to solve problems of data scarcity, explainability, and safety; and promotes transparency and trust. Two proof-of-concept HARMONIC-based robotic systems are demonstrated, each implemented in both a high-fidelity simulation environment and on physical robotic platforms.",https://arxiv.org/abs/2509.13279v1
2509.13270v1,RadGame: An AI-Powered Platform for Radiology Education,Mohammed Baharoon; Siavash Raissi; John S. Jun; Thibault Heintz; Mahmoud Alabbad; Ali Alburkani; Sung Eun Kim; Kent Kleinschmidt; Abdulrahman O. Alhumaydhi; Mohannad Mohammed G. Alghamdi; Jeremy Francis Palacio; Mohammed Bukhaytan; Noah Michael Prudlo; Rithvik Akula; Brady Chrisler; Benjamin Galligos; Mohammed O. Almutairi; Mazeen Mohammed Alanazi; Nasser M. Alrashdi; Joel Jihwan Hwang; Sri Sai Dinesh Jaliparthi; Luke David Nelson; Nathaniel Nguyen; Sathvik Suryadevara; Steven Kim; Mohammed F. Mohammed; Yevgeniy R. Semenov; Kun-Hsing Yu; Abdulrhman Aljouie; Hassan AlOmaish; Adam Rodman; Pranav Rajpurkar,[Submitted on 16 Sep 2025],"We introduce RadGame, an AI-powered gamified platform for radiology education that targets two core skills: localizing findings and generating reports. Traditional radiology training is based on passive exposure to cases or active practice with real-time input from supervising radiologists, limiting opportunities for immediate and scalable feedback. RadGame addresses this gap by combining gamification with large-scale public datasets and automated, AI-driven feedback that provides clear, structured guidance to human learners. In RadGame Localize, players draw bounding boxes around abnormalities, which are automatically compared to radiologist-drawn annotations from public datasets, and visual explanations are generated by vision-language models for user missed findings. In RadGame Report, players compose findings given a chest X-ray, patient age and indication, and receive structured AI feedback based on radiology report generation metrics, highlighting errors and omissions compared to a radiologist's written ground truth report from public datasets, producing a final performance and style score. In a prospective evaluation, participants using RadGame achieved a 68% improvement in localization accuracy compared to 17% with traditional passive methods and a 31% improvement in report-writing accuracy compared to 4% with traditional methods after seeing the same cases. RadGame highlights the potential of AI-driven gamification to deliver scalable, feedback-rich radiology training and reimagines the application of medical AI resources in education.",https://arxiv.org/abs/2509.13270v1
