id,title,authors,published,summary,link
2509.13316v1,هل تنقل أوصاف اللغة الطبيعية لتنشيطات النموذج معلومات مميزة؟,ميليسنت لي؛ ألبرتو ماريو سيبالوس أرويو؛ جيوردانو روجرز؛ نعومي سافرا؛ بايرون سي والاس,[تم تقديمه في ١٦ سبتمبر ٢٠٢٥],"اقترحت أساليب التفسير الحديثة ترجمة التمثيلات الداخلية لنموذج التعلم الآلي (LLM) إلى أوصاف باللغة الطبيعية باستخدام مُفعّل لفظي ثانٍ. يهدف هذا إلى توضيح كيفية تمثيل النموذج المستهدف للمدخلات وتفاعله معها. ولكن، هل تُوفر مناهج التفعيل اللفظي هذه معرفةً متميزةً حول العمليات الداخلية للنموذج المستهدف، أم أنها تنقل معلوماتٍ حول مدخلاته فحسب؟ نُقيّم نقديًا أساليب التفعيل اللفظي الشائعة عبر مجموعات البيانات المُستخدمة في الأعمال السابقة، ونجد أنها تنجح في معايير الأداء دون الوصول إلى البيانات الداخلية للنموذج المستهدف، مما يُشير إلى أن هذه المجموعات ليست مثاليةً لتقييم أساليب التفعيل اللفظي. ثم نُجري تجارب مُتحكم بها تُظهر أن التفعيلات اللفظية غالبًا ما تعكس المعرفة البارامترية لنموذج التعلم الآلي المُفعّل اللفظي الذي ولّدها، وليس عمليات تفعيل نموذج التعلم الآلي المستهدف الذي يتم فك تشفيره. تُشير نتائجنا مجتمعةً إلى الحاجة إلى معايير أداء مُستهدفة وضوابط تجريبية لتقييم ما إذا كانت أساليب التفعيل اللفظي تُقدم رؤىً ذات معنى حول عمليات نماذج التعلم الآلي.",https://arxiv.org/abs/2509.13316v1
2509.13305v1,WebSailor-V2: سد الفجوة بين الوكلاء الملكية من خلال البيانات الاصطناعية والتعلم التعزيزي القابل للتطوير,كوان لي؛ تشونغوانغ تشانغ؛ هويفينج يين؛ روي يي؛ ييدا تشاو؛ ليوين تشانغ؛ ليتو أوي؛ دينغشو تشانغ؛ شيشي وو؛ جيالونغ وو؛ شينيو وانغ؛ زيلي تشياو؛ تشن تشانغ؛ يونغ جيانغ؛ بينجون شيه؛ فاي هوانغ؛ جينجرين تشو,[تم تقديمه في ١٦ سبتمبر ٢٠٢٥],"يُمثل تجاوز القيود المعرفية البشرية مجالاً بالغ الأهمية في تدريب ماجستير القانون. وقد أظهرت أنظمة الوكلاء الملكية، مثل DeepResearch، قدرات خارقة في معايير بحث معلومات بالغة التعقيد مثل BrowseComp، وهو إنجاز لم يكن من الممكن تحقيقه من قبل. نفترض أن نجاحها يعتمد على نمط تفكير متطور غائب في نماذج المصدر المفتوح: القدرة على تقليل عدم اليقين الشديد بشكل منهجي عند التنقل في بيئات معلوماتية شاسعة. بناءً على هذه الرؤية، نُقدم WebSailor، وهي منهجية شاملة لما بعد التدريب مُصممة لغرس هذه القدرة الحاسمة. يتضمن نهجنا توليد مهام جديدة عالية عدم اليقين من خلال أخذ العينات المُهيكلة وتعتيم المعلومات، والبدء البارد لـ RFT، وخوارزمية تدريب فعّالة للتعلم التعزيزي الوكيل، وهي تكرار تحسين سياسة أخذ العينات (DUPO). بفضل هذا المسار المتكامل، يتفوق WebSailor بشكل ملحوظ على جميع الوكلاء مفتوحي المصدر في مهام البحث عن المعلومات المعقدة، مُضاهيًا أداء الوكلاء الملكية، ومُسدًا فجوة القدرات.",https://arxiv.org/abs/2509.13305v1
2509.13298v1,QDFlow: حزمة Python لمحاكاة الفيزياء لأجهزة النقاط الكمومية,دونوفان إل بوتيراكوس؛ سانديش س. كالانتري؛ جوشوا زيغلر؛ جاكوب م تايلور؛ جوستينا ب. زوولاك,[تم تقديمه في ١٦ سبتمبر ٢٠٢٥],"لقد سرّعت التطورات الحديثة في مجال التعلم الآلي (ML) وتيرة التقدم في معايرة وتشغيل أجهزة النقاط الكمومية (QD). ومع ذلك، تعتمد معظم مناهج التعلم الآلي على الوصول إلى مجموعات بيانات كبيرة وعالية الجودة مُصنّفة لأغراض التدريب والمقارنة المعيارية والتحقق من الصحة، حيث تلتقط العلامات السمات الرئيسية للبيانات. يُعدّ الحصول على هذه المجموعات تجريبيًا أمرًا صعبًا نظرًا لمحدودية توافر البيانات والطبيعة المُرهقة لعملية التصنيف. QDFlow هو مُحاكي فيزيائي مفتوح المصدر لمصفوفات النقاط الكمومية المتعددة، يُولّد بيانات تركيبية واقعية مع علامات حقيقية. يجمع QDFlow بين مُحلّل توماس-فيرمي المُتسق ذاتيًا، ونموذج سعة ديناميكي، ووحدات ضوضاء مرنة لإنتاج مُخططات استقرار الشحنة وبيانات قائمة على الأشعة تُشبه التجارب إلى حد كبير. بفضل مُعلمات قابلة للضبط ونماذج ضوضاء قابلة للتخصيص، يدعم QDFlow إنشاء مجموعات بيانات كبيرة ومتنوعة لتطوير التعلم الآلي والمقارنة المعيارية وأبحاث الأجهزة الكمومية.",https://arxiv.org/abs/2509.13298v1
2509.13294v1,تسريع محاكاة ديناميكيات الجزيئات البروتينية باستخدام DeepJump,آلان دوس سانتوس كوستا؛ مانفيثا بوناباتي؛ دانا روبين؛ تيس سميت؛ جوزيف جاكوبسون,[تم تقديمه في ١٦ سبتمبر ٢٠٢٥],"يُعدّ كشف الحركات الديناميكية للجزيئات الحيوية أمرًا أساسيًا لربط بنيتها ووظيفتها، إلا أنه لا يزال يُشكّل تحديًا حسابيًا كبيرًا. تُقدّم محاكاة الديناميكيات الجزيئية (MD) تصويرًا مُفصّلًا للحركة الجزيئية الحيوية، إلا أن تطورها الزمني عالي الدقة يأتي بتكلفة حسابية كبيرة، مما يحدّ من إمكانية تطبيقها على مقاييس زمنية ذات أهمية بيولوجية. وقد برزت أساليب التعلم العميق كحلول واعدة للتغلب على هذه القيود الحسابية من خلال تعلّم التنبؤ بالديناميكيات طويلة المدى. ومع ذلك، لا تزال نماذج الحركية القابلة للتعميم للبروتينات غير مُستكشفة إلى حد كبير، كما أن الحدود الأساسية للتسارع المُمكن تحقيقه مع الحفاظ على الدقة الديناميكية غير مفهومة جيدًا. في هذا العمل، نسد هذه الفجوة باستخدام DeepJump، وهو نموذج قائم على مطابقة التدفق الإقليدي المتساوي المتغيرات للتنبؤ بديناميكيات تكوين البروتين عبر مقاييس زمنية متعددة. ندرّب DeepJump على مسارات بروتينات mdCATH المتنوعة، وندرس بشكل منهجي أداء نموذجنا في التعميم على ديناميكيات طويلة المدى للبروتينات سريعة الطي، ونحدد العلاقة بين التسارع الحسابي ودقة التنبؤ. نوضح تطبيق DeepJump على الطي من البداية، ونستعرض التنبؤ بمسارات الطي والحالات الطبيعية. تُظهر نتائجنا أن DeepJump يحقق تسارعًا حسابيًا كبيرًا (حوالي 1000 مرة) مع استعادة ديناميكيات طويلة المدى بفعالية، مما يوفر أساسًا لتمكين المحاكاة الروتينية للبروتينات.",https://arxiv.org/abs/2509.13294v1
2509.13288v1,أشكال الإدراك للنمذجة المعرفية الحاسوبية,مارجوري ماكشين؛ سيرجي نيرنبرج؛ سانجاي أوروجانتي؛ جيسي الانجليزية,[تم تقديمه في ١٦ سبتمبر ٢٠٢٥],"أشكال الإدراك نموذج مفاهيمي جديد للنمذجة المعرفية الحاسوبية للوكلاء الأذكياء الموهوبين باللغة (LEIAs). الأشكال هي مجموعات متذكرة من المعرفة الحسية واللغوية والمفاهيمية والعرضية والإجرائية التي تسمح للوكلاء باختراق تعقيدات الحياة الواقعية بنفس الطريقة التي يفعلها البشر: من خلال توقع أن تكون الأشياء نموذجية، والتعرف على الأنماط، والتصرف وفقًا للعادة، والتفكير بالقياس، والإرضاء، وتقليل الحمل المعرفي عمومًا إلى الحد الذي تسمح به المواقف. تُعالج النتائج غير النمطية باستخدام أساليب التعافي القائمة على الأشكال، مثل التعلم الفوري، وطلب المساعدة من شريك بشري، أو البحث عن فهم عملي للمواقف، حتى وإن كان غير كامل. على الرغم من أن الأشكال مصطلح شامل، إلا أنه ليس غامضًا: تتضمن النمذجة القائمة على الأشكال أهدافًا محددة، وفرضيات، واستراتيجيات نمذجة، وقواعد معرفية، ونماذج فعلية لظواهر واسعة النطاق، وكلها تُنفذ ضمن بنية معرفية محددة. هذه الدقة ضرورية لتدقيق فرضياتنا وتحقيق أهدافنا العملية المتمثلة في بناء أنظمة وكلاء مفيدة، قابلة للتفسير والتوسع، وجديرة بثقتنا، حتى في المجالات الحرجة. مع ذلك، ورغم أن مثال LEIA للنمذجة القائمة على الأشكال دقيق، إلا أنه يمكن تطبيق مبادئه على نطاق أوسع، مما يُنعش الذكاء الاصطناعي الهجين والقائم على المعرفة.",https://arxiv.org/abs/2509.13288v1
2509.13285v1,تمثيلات جرسية متباينة لاسترجاع الآلات الموسيقية والمُركِّبات الصوتية,جويندال لو فايلان؛ يانيك مولي,[تم تقديمه في ١٦ سبتمبر ٢٠٢٥],"لا يزال استرجاع نغمات آلات موسيقية محددة بكفاءة من الخلطات الصوتية يُمثل تحديًا في إنتاج الموسيقى الرقمية. تُقدم هذه الورقة البحثية إطار عمل للتعلم التبايني لاسترجاع الآلات الموسيقية، مما يُتيح الاستعلام المباشر عن قواعد بيانات الآلات باستخدام نموذج واحد لكل من أصوات الآلة الواحدة والمتعددة. نقترح تقنيات لتوليد أزواج واقعية من الأصوات الإيجابية/السلبية للآلات الموسيقية الافتراضية، مثل أجهزة أخذ العينات ومركبات الصوت، مع معالجة القيود في أساليب تعزيز البيانات الصوتية الشائعة. تُركز التجربة الأولى على استرجاع الآلات من مجموعة بيانات تضم 3884 آلة، باستخدام صوت الآلة الواحدة كمدخل. تُنافس الأساليب التباينية الأعمال السابقة القائمة على التدريب المسبق للتصنيف. أما التجربة الثانية فتتناول استرجاع الآلات المتعددة باستخدام مزيج من الآلات كمدخل صوتي. في هذه الحالة، يتفوق إطار العمل التبايني المقترح على الأعمال ذات الصلة، محققًا دقة 81.7% في أفضل 1 و95.7% في أفضل 5 لمخاليط بثلاث آلات.",https://arxiv.org/abs/2509.13285v1
2509.13282v1,ChartGaze: تحسين فهم المخططات في LVLMs باستخدام تحسين الانتباه الموجه بتتبع العين,علي سلاماتيان؛ أمير حسين أبسكوهي؛ مروحة وان تشيوان؛ مير رايات امتياز حسين؛ ليونيد سيجال؛ جوزيبي كارينيني,[تم تقديمه في ١٦ سبتمبر ٢٠٢٥],"تُعد المخططات وسيلة بصرية أساسية لتوصيل المعلومات وتمثيلها. ورغم أن نماذج الرؤية واللغة الكبيرة (LVLMs) قد أحرزت تقدمًا في الإجابة على أسئلة المخططات (CQA)، إلا أن المهمة لا تزال صعبة، خاصةً عندما تُركز النماذج على مناطق غير ذات صلة من المخطط. في هذا العمل، نُقدم ChartGaze، وهي مجموعة بيانات جديدة لتتبع حركة العين تلتقط أنماط النظرة البشرية أثناء مهام استدلال المخططات. من خلال مقارنة منهجية بين انتباه الإنسان وانتباه النموذج، نجد أن نماذج الرؤية واللغة الكبيرة غالبًا ما تنحرف عن النظرة البشرية، مما يؤدي إلى انخفاض قابلية التفسير والدقة. ولمعالجة هذا، نقترح تحسينًا للانتباه مُوجهًا بالنظرة يُوازن بين انتباه الصورة والنص وبين التركيز البشري. يُحسّن نهجنا كلاً من دقة الإجابة ومحاذاة الانتباه، مما يُحقق مكاسب تصل إلى 2.56 نقطة مئوية عبر نماذج متعددة. تُظهر هذه النتائج إمكانية دمج النظرة البشرية لتحسين جودة الاستدلال وقابلية التفسير لنماذج الرؤية واللغة الكبيرة المُركزة على المخططات.",https://arxiv.org/abs/2509.13282v1
2509.13281v1,RepIt: تمثيل الأهداف المعزولة لتوجيه نماذج اللغة,فنسنت سيو؛ ناثان دبليو هنري؛ نيكولاس كريسبينو؛ يانغ ليو؛ أغنية الفجر؛ تشينجوانج وانج,[تم تقديمه في ١٦ سبتمبر ٢٠٢٥],"في حين أن توجيه التنشيط في نماذج اللغة الكبيرة (LLMs) يُعد مجال بحث متنامٍ، إلا أن الأساليب المستخدمة غالبًا ما تُحدث تأثيرات أوسع من المرغوب. وهذا يُحفز عزل متجهات مفاهيمية أنقى لتمكين التدخلات المُستهدفة وفهم سلوك نماذج اللغة الكبيرة على مستوى أكثر تفصيلًا. نُقدم RepIt، وهو إطار عمل بسيط وفعال في استخدام البيانات لعزل التمثيلات الخاصة بالمفاهيم. عبر خمسة نماذج لغة كبيرة رائدة، يُمكّن RepIt من تدخلات دقيقة: فهو يُثبّط بشكل انتقائي الرفض في المفاهيم المُستهدفة مع الحفاظ على الرفض في أماكن أخرى، مما يُنتج نماذج تُجيب على الأسئلة المتعلقة بأسلحة الدمار الشامل مع الحفاظ على مستوى الأمان في المعايير القياسية. نُظهر أيضًا أن الإشارة التصحيحية تُركز على 100-200 خلية عصبية فقط، وأنه يُمكن استخراج تمثيلات مستهدفة قوية من اثنتي عشرة عينة فقط على وحدة A6000 واحدة. تُثير هذه الكفاءة قلقًا مزدوجًا: يُمكن إجراء عمليات معالجة باستخدام حوسبة وبيانات متواضعة لتوسيع نطاقها لتشمل مواضيع نادرة البيانات وغير ممثلة تمثيلًا كافيًا مع تجنب المعايير الحالية. من خلال فك تشابك متجهات الرفض مع RepIt، يوضح هذا العمل أن التدخلات المستهدفة يمكن أن تعمل على مواجهة التعميم المفرط، مما يضع الأساس لمزيد من التحكم التفصيلي في سلوك النموذج.",https://arxiv.org/abs/2509.13281v1
2509.13279v1,HARMONIC: هندسة روبوتية معرفية تركز على المحتوى,سانجاي أوروجانتي؛ سيرجي نيرنبرج؛ مارجوري ماكشين؛ جيسي إنجليش؛ مايكل ك. روبرتس؛ كريستيان أرندت؛ كارلوس جونزاليس؛ مينجيو سيو؛ لويس سينتيس,[تم تقديمه في ١٦ سبتمبر ٢٠٢٥],"تُقدّم هذه الورقة البحثية HARMONIC، وهي بنية روبوتية معرفية مُصمّمة للروبوتات في فرق بشرية روبوتية. تدعم HARMONIC تفسير الإدراك الدلالي، واتخاذ القرارات بطريقة تُشبه البشر، والتواصل اللغوي العمد. تُعالج قضايا السلامة وجودة النتائج؛ وتهدف إلى حل مشاكل ندرة البيانات، وسهولة التفسير، والسلامة؛ وتُعزز الشفافية والثقة. يُعرض نظامان روبوتيان قائمان على HARMONIC، وهما نظامان تجريبيان، مُطبّقان في بيئة محاكاة عالية الدقة وعلى منصات روبوتية مادية.",https://arxiv.org/abs/2509.13279v1
2509.13270v1,RadGame: منصة مُدعّمة بالذكاء الاصطناعي لتعليم الأشعة,محمد باهارون؛ سيافاش رايسي؛ جون س. يونيو؛ تيبو هاينتز؛ محمود العباد؛ علي البركاني؛ سونغ إيون كيم؛ كينت كلاينشميت؛ عبدالرحمن الحميضي؛ مهند محمد ج. الغامدي؛ جيريمي فرانسيس بالاسيو؛ محمد بخيتان؛ نوح مايكل برودلو؛ ريثفيك أكولا؛ برادي كريسلر؛ بنيامين جاليجوس؛ محمد عمر المطيري؛ مازن محمد العنزي؛ ناصر محمد الراشدي؛ جويل جيهوان هوانج؛ سري ساي دينيش جاليبارثي؛ لوك ديفيد نيلسون؛ ناثانيال نجوين؛ ساتفيك سورياديفارا؛ ستيفن كيم؛ محمد ف. محمد؛ يفغيني ر. سيمينوف؛ كون شينج يو؛ عبد الرحمن الجويع؛ حسن العميش؛ آدم رودمان؛ براناف راجبوركار,[تم تقديمه في ١٦ سبتمبر ٢٠٢٥],"نُقدّم RadGame، وهي منصة مُلَعَّبة مُدعَّمة بالذكاء الاصطناعي لتعليم الأشعة، تُركِّز على مهارتين أساسيتين: تحديد موقع النتائج وإنشاء التقارير. يعتمد التدريب التقليدي على الأشعة على التعرّض السلبي للحالات أو الممارسة العملية مع مُدخلات آنية من أخصائيي الأشعة المُشرفين، مما يُقلِّل من فرص الحصول على تغذية راجعة فورية وقابلة للتطوير. تُعالج RadGame هذه الفجوة من خلال الجمع بين اللُّعْب وقواعد البيانات العامة واسعة النطاق والتغذية الراجعة الآلية المُدْفَعة بالذكاء الاصطناعي، والتي تُوفِّر إرشادات واضحة ومنظمة للمتعلمين. في RadGame Localize، يرسم اللاعبون مُربَّعات حول التشوهات، والتي تُقارَن تلقائيًا بالتعليقات التوضيحية التي يُرسِلها أخصائي الأشعة من قواعد البيانات العامة، وتُولَّد شروحات بصرية من خلال نماذج لغة الرؤية للنتائج التي لم يُلاحظها المستخدم. في RadGame Report، يُؤلِّف اللاعبون النتائج بناءً على صورة الصدر بالأشعة السينية وعمر المريض ومؤشراته، ويتلقَّون تغذية راجعة مُنظَّمة من الذكاء الاصطناعي بناءً على مقاييس إنشاء تقرير الأشعة، مع إبراز الأخطاء والسهو مُقارنةً بتقرير الحقيقة الميدانية المكتوب من أخصائي الأشعة من قواعد البيانات العامة، مما يُنتج درجة نهائية للأداء والأسلوب. في تقييم مستقبلي، حقق المشاركون الذين استخدموا RadGame تحسنًا بنسبة 68% في دقة تحديد المواقع، مقارنةً بنسبة 17% باستخدام الطرق السلبية التقليدية، وتحسنًا بنسبة 31% في دقة كتابة التقارير، مقارنةً بنسبة 4% باستخدام الطرق التقليدية، وذلك بعد رؤية الحالات نفسها. يُسلّط RadGame الضوء على إمكانات اللعب المُدار بالذكاء الاصطناعي في تقديم تدريب إشعاعي قابل للتطوير وغني بالملاحظات، ويُعيد تصور استخدام موارد الذكاء الاصطناعي الطبي في التعليم.",https://arxiv.org/abs/2509.13270v1
