source,name,one_liner,long_description,website,batch,industry,subindustry,industries,tags,regions,team_size,is_hiring,status,yc_url,votes,created_at
واي سي,مارفت,مارفت يبتكر نماذج التعلم الآلي القابلة للتضمين للتطبيق,"تُنشئ مارفت نماذج تعلّم آلي قابلة للتضمين لمطوري التطبيقات. يُرسل المستخدمون البيانات عبر الويب/واجهة برمجة التطبيقات، ويتلقون نماذج مُحسّنة مُنفّذة بلغة من اختيارهم.",http://marft.com,شتاء 2012,ب2ب,B2B -> الهندسة والمنتج والتصميم,B2B؛ الهندسة والمنتج والتصميم,أدوات المطور؛ التعلم الآلي,غير محدد,3,FALSE,غير نشط,https://www.ycombinator.com/companies/marft,,
واي سي,أجايل إم دي,التحليلات التنبؤية والمسارات السريرية للمستشفيات,"في AgileMD، نبني منصةً متطورةً للتحليلات التنبؤية والخوارزميات السريرية الفورية للمستشفيات. يساعد محركنا السحابي آلاف الأطباء والممرضين في جميع أنحاء البلاد على اتخاذ القرارات الطبية، ليحصل كل مريض على أعلى جودة وقيمة رعاية صحية، استنادًا إلى أحدث المعارف والبيانات الطبية.",https://agilemd.com,صيف 2011,الرعاية الصحية,الرعاية الصحية -> تكنولوجيا المعلومات الصحية,الرعاية الصحية؛ تكنولوجيا المعلومات الصحية,التعلم الآلي؛ الرعاية الصحية,الولايات المتحدة الأمريكية؛ أمريكا / كندا؛ عن بُعد؛ عن بُعد بالكامل,18,FALSE,نشيط,https://www.ycombinator.com/companies/agilemd,,
واي سي,غربلة,الرائد في مجال الثقة والأمان الرقمي,"Sift هي الشركة الرائدة في مجال الثقة والأمان الرقميين، حيث تُمكّن رواد الأعمال الرقميين في شركات Fortune 500 من تحقيق إيرادات جديدة دون مخاطر. تمنع Sift عمليات الاحتيال وإساءة الاستخدام بفعالية من خلال تقنيات وخبرات رائدة في هذا المجال، وشبكة بيانات عالمية لا مثيل لها تضم ​​70 مليار حدث شهريًا، بالإضافة إلى التزامها ببناء شراكات طويلة الأمد مع العملاء. تعتمد علامات تجارية عالمية مثل DoorDash وTwitter وWayfair على Sift لتحقيق ميزة تنافسية في أسواقها.",https://sift.com/,صيف 2011,ب2ب,B2B -> الأمان,B2B؛ الأمن,التكنولوجيا المالية؛ التعلم الآلي؛ SaaS؛ B2B,الولايات المتحدة الأمريكية؛ أمريكا / كندا؛ بعيد؛ بعيد جزئيًا,,TRUE,نشيط,https://www.ycombinator.com/companies/sift,,
واي سي,ليدجينيوس,LeadGenius هو برنامج تسويق وتوليد عملاء محتملين يعتمد على الحسابات,"LeadGenius هي الطريقة الأكثر فعالية لتزويد فرق المبيعات والتسويق ببيانات عملاء محتملين مخصصة للشركات (B2B) على نطاق واسع. يُجري خبراء البيانات لدينا أبحاثًا مستمرة لتزويد الفرق تلقائيًا بمعلومات اتصال دقيقة ونقاط بيانات يصعب الحصول عليها لأهم شخصياتك المشترية. من خلال الجمع بين قوة عاملة عالمية عن بُعد وبيانات مخصصة وتقنيات التعلم الآلي، تُقدم LeadGenius أعلى قيمة في توليد العملاء المحتملين في السوق.",http://leadgenius.com,صيف 2011,ب2ب,B2B -> المبيعات,B2B؛ المبيعات,B2B؛ المبيعات؛ التسويق؛ الذكاء الاصطناعي,الولايات المتحدة الأمريكية؛ أمريكا / كندا,50,FALSE,نشيط,https://www.ycombinator.com/companies/leadgenius,,
واي سي,الحافة الموجهة,توصيات المنتج.,"تُقدّم Directed Edge توصياتٍ شبيهةً بتوصيات أمازون ""الأشخاص الذين اشتروا هذا اشتروا أيضًا..."" و""نعتقد أنك ستُعجبك أيضًا"" للمواقع الأخرى، باستخدام البيانات المُجمّعة، مثل سجلات الشراء أو النقرات. تُقدّم التوصيات آنيًا عبر واجهة برمجة تطبيقات REST، مع ربطها بعدة لغات برمجة لتسهيل التكامل.",http://directedge.com,صيف 2009,مستهلك,المستهلك -> المنزل والشخصي,المستهلك؛ المنزل والشخصي,الذكاء الاصطناعي؛ التعلم الآلي؛ نظام التوصية,الولايات المتحدة الأمريكية؛ أمريكا / كندا,2,FALSE,نشيط,https://www.ycombinator.com/companies/directed-edge,,
واي سي,جست سبوتيد,استحوذت عليها جوجل في عام 2011,"الفنان، المعروف سابقًا باسم Scoopler، هو محرك بحث فوري. يجمع وينظم المحتوى المُشارك على الإنترنت فور حدوثه، مثل تقارير شهود العيان عن الأخبار العاجلة، والصور ومقاطع الفيديو من الأحداث الكبرى، وروابط لأشهر الميمات اليومية. ويحقق ذلك من خلال فهرسة التحديثات المباشرة باستمرار من خدمات مثل Twitter وFlickr وDigg وDelicious وغيرها. عندما يبحث المستخدمون عن موضوع على Scoopler، يحصلون على النتائج الأكثر صلة، والتي تُحدَّث فورًا. أصبح Scoopler الآن JustSpotted، وهي أداة لتتبع المشاهير، تهدف إلى منح المعجبين فكرة عن أنشطة مشاهيرهم المفضلين في أي وقت. JustSpotted، مثل Scoopler، هو مُجمِّع بيانات، ولكنه يجمع البيانات من تويتر وفيسبوك وفورسكوير، بالإضافة إلى بياناته الخاصة، من المستخدمين الذين يشاهدون المشاهير. جميع المعلومات التي نجمعها متاحة للعامة، ويمكنك حتى البحث على تويتر بنفسك للعثور على مشاهدات المشاهير. نحن أول من نظّم هذه المعلومات على خريطة بطريقة تُسهّل الوصول إليها والاستمتاع بها.",http://justspotted.com,صيف 2008,مستهلك,المستهلك -> المحتوى,المستهلك؛ المحتوى,الذكاء الاصطناعي؛ التعلم الآلي,الدنمارك؛ أوروبا,2,FALSE,مكتسب,https://www.ycombinator.com/companies/justspotted,,
واي سي,مختبرات كانوبي,تقوم Canopy Labs بأتمتة تحليلات العملاء للشركات الصغيرة والمتوسطة الحجم,"يتخذ كل عميل قرار الشراء بطريقته الخاصة - تساعد كانوبي لابز الشركات على تتبع رحلة العميل وتحسينها. باستخدام منصتنا، يمكن للشركات تخطيط حملات تسويقية أكثر استهدافًا وتحسين قوائم عملائها المحتملين، مع التركيز على تعظيم نمو الإيرادات والمبيعات. تُستخدم منصتنا حاليًا في مجموعة متنوعة من القطاعات، بما في ذلك الرياضة، ومبيعات التذاكر، والصفقات اليومية، وتجارة التجزئة عبر الإنترنت، وتستهدف عملاءً تتراوح أعمارهم بين 10 مليارات دولار أمريكي والشركات الإلكترونية الصغيرة. تمتلك كانوبي لابز مكاتب في تورنتو ونيويورك. يرأس الشركة الرئيس التنفيذي فويتشيك جريك، وهو مستشار سابق في ماكينزي وحاصل على منحة رودس، والمدير التقني خورخي إسكوبيدو، الحاصل على درجة الدكتوراه في الفيزياء النظرية وباحث في نظرية الأوتار. تدعم الشركة شركة واي كومبيناتور، وصندوق بي دي سي آي تي ​​فينتشرز، وفالار فينتشرز.",http://canopylabs.com,صيف 2012,ب2ب,B2B -> التحليلات,B2B؛ التحليلات,الذكاء الاصطناعي؛ التحليلات؛ التسويق؛ إدارة علاقات العملاء,الولايات المتحدة الأمريكية؛ أمريكا / كندا,11,FALSE,غير نشط,https://www.ycombinator.com/companies/canopy-labs,,
واي سي,بليفو,"وكلاء الذكاء الاصطناعي الصوتي للتفاعل مع العملاء، بما في ذلك WhatsApp والرسائل القصيرة و...","تساعد منصة Plivo الشركات على إنشاء ونشر وكلاء الذكاء الاصطناعي الصوتيين لمختلف الأدوار، مثل دعم العملاء، والتفاعل التسويقي، وتأهيل العملاء المحتملين، بما في ذلك قنوات مثل واتساب والدردشة والرسائل النصية. تُجري منصة Plivo مليارات المعاملات سنويًا عالميًا لآلاف الشركات حول العالم، مثل أوبر، وميتا، وزوماتو، وجودادي، وغيرها.",https://plivo.com,صيف 2012,ب2ب,B2B -> الهندسة والمنتج والتصميم,ب2ب,الرسائل القصيرة؛ الذكاء الاصطناعي؛ مساعد الذكاء الاصطناعي,الولايات المتحدة الأمريكية؛ أمريكا / كندا,140,FALSE,نشيط,https://www.ycombinator.com/companies/plivo,,
واي سي,رادار,تقوم شركة RADAR ببناء التكنولوجيا لتحويل تجربة التسوق داخل المتجر بالكامل,"رادار منصة تجمع بين تقنية تحديد الهوية بموجات الراديو (RFID) والرؤية الحاسوبية لأتمتة عمليات متاجر التجزئة وتعزيزها. توفر تقنيتنا سرعةً ودقةً غير مسبوقتين في تحديد المواقع، مما يتيح للمتاجر: 1) إدارة المخزون بكفاءة، من خلال عدّ المخزون تلقائيًا، وتحسين تجديد المخزون داخل المتجر، وفحص مخزون العملاء بشكل فوري. 2) التخلص تمامًا من طوابير الانتظار عند الدفع من خلال أداة الدفع التلقائية. 3) قياس جميع تفاعلات العملاء مع المنتجات، مما يمنح المتاجر التقليدية نفس القدرة على فهم سلوك المستهلك وأداء المنتجات تمامًا كما تفعل المتاجر الإلكترونية. https://goradar.com",https://goradar.com,شتاء 2013,ب2ب,B2B -> التجزئة,B2B؛ التجزئة,الذكاء الاصطناعي؛ تكنولوجيا البيع بالتجزئة,الولايات المتحدة الأمريكية؛ أمريكا / كندا؛ بعيد؛ بعيد جزئيًا,46,FALSE,نشيط,https://www.ycombinator.com/companies/radar,,
واي سي,الدلالات 3,منصة البيانات والذكاء الاصطناعي للتجارة الإلكترونية والخدمات اللوجستية عبر الحدود,"منتجاتنا: - واجهات برمجة تطبيقات البيانات/الخلاصات (خلاصات البيع بالتجزئة، عمليات البحث عن UPC، البحث عن الكلمات الرئيسية) - واجهات برمجة تطبيقات الذكاء الاصطناعي (التصنيف، استخراج السمات/NER، المطابقة) - لوحات المعلومات (تقارير التحليلات، مراقبة الأسعار) نقدم حلولاً للمؤسسات من أجل: - أسواق التجارة الإلكترونية (إنشاء الكتالوج وإثرائه، وإدراج البائع) - الخدمات اللوجستية (تصنيف HTS/التعريفة، وإثراء السمات) - العلامات التجارية (تقارير حصة السوق والاتجاهات، ومراقبة الأسعار)",http://www.semantics3.com,شتاء 2013,ب2ب,B2B -> التجزئة,B2B؛ التجزئة,الذكاء الاصطناعي؛ الخدمات اللوجستية؛ التجارة الإلكترونية,الولايات المتحدة الأمريكية؛ أمريكا / كندا,25,FALSE,مكتسب,https://www.ycombinator.com/companies/semantics3,,
